pathway	size	pval	padj	NES
NUCLEAR EVENTS (KINASE AND TRANSCRIPTION FACTOR ACTIVATION)%REACTOME DATABASE ID RELEASE 81%198725	60	0.0001	0.001	1.966
PROTEIN SYNTHESIS: METHIONINE%PATHWHIZ%PW112933	80	6.4452e-12	6.3402e-10	-2.6419
POSITIVE REGULATION OF TYROSINE PHOSPHORYLATION OF STAT PROTEIN%GOBP%GO:0042531	52	0	0.0004	2.1194
NEGATIVE REGULATION OF CELL MIGRATION%GOBP%GO:0030336	246	0.0004	0.0029	1.6009
ERBB4 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ERBB4 SIGNALING EVENTS	35	0.0097	0.0345	1.6212
GMCSF-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%GMCSF-MEDIATED SIGNALING EVENTS	37	0.0049	0.0203	1.7545
PANCREATIC ADENOCARCINOMA PATHWAY%WIKIPATHWAYS_20240410%WP4263%HOMO SAPIENS	70	0	0.0004	2.0077
REGULATION OF INSULIN SECRETION INVOLVED IN CELLULAR RESPONSE TO GLUCOSE STIMULUS%GOBP%GO:0061178	27	0.0014	0.0076	1.9018
ACETYL-COA METABOLIC PROCESS%GOBP%GO:0006084	25	0.003	0.0137	-1.8323
AMB2 INTEGRIN SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%AMB2 INTEGRIN SIGNALING	32	0.0007	0.0044	1.9272
HALLMARK_INFLAMMATORY_RESPONSE%MSIGDBHALLMARK%HALLMARK_INFLAMMATORY_RESPONSE	183	2.5467e-34	7.7828e-31	3.1075
REGULATION OF MONONUCLEAR CELL PROLIFERATION%GOBP%GO:0032944	168	1.4258e-7	0.0000038653	1.9997
REGULATION OF ENDOPLASMIC RETICULUM STRESS-INDUCED INTRINSIC APOPTOTIC SIGNALING PATHWAY%GOBP%GO:1902235	25	0.0008	0.0049	1.8992
RIBONUCLEOSIDE MONOPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009156	20	0.0017	0.0088	-1.8749
REGULATION OF PLASMA MEMBRANE BOUNDED CELL PROJECTION ORGANIZATION%GOBP%GO:0120035	474	0.0032	0.0144	1.3963
NON GENOMIC ACTIONS OF 1 25 DIHYDROXYVITAMIN D3%WIKIPATHWAYS_20240410%WP4341%HOMO SAPIENS	67	0.0001	0.0007	1.9749
EGF SIGNALLING PATHWAY%SMPDB%SMP0063810	26	0.0041	0.0176	1.8029
POSITIVE REGULATION OF T CELL ACTIVATION%GOBP%GO:0050870	202	1.0355e-8	4.1095e-7	2.0282
MERCAPTOPURINE ACTION PATHWAY%PATHWHIZ%PW000267	47	0.0073	0.0278	-1.6524
INFLUENZA VIRAL RNA TRANSCRIPTION AND REPLICATION%REACTOME DATABASE ID RELEASE 81%168273	134	3.8567e-9	1.7461e-7	-2.1858
MITOTIC SPINDLE ASSEMBLY CHECKPOINT SIGNALING%GOBP%GO:0007094	27	0	0.0002	-2.2038
T CELL RECEPTOR SIGNALING PATHWAY%GOBP%GO:0050852	96	0.0007	0.0045	1.7139
PID_AVB3_INTEGRIN_PATHWAY%MSIGDB_C2%PID_AVB3_INTEGRIN_PATHWAY	62	0.0102	0.0359	1.6127
POLYMERASE SWITCHING ON THE C-STRAND OF THE TELOMERE%REACTOME DATABASE ID RELEASE 81%174411	26	0.0044	0.0186	-1.7712
POSITIVE REGULATION OF CYTOKINE PRODUCTION INVOLVED IN IMMUNE RESPONSE%GOBP%GO:0002720	56	0.0001	0.0009	1.9948
DOUBLE-STRAND BREAK REPAIR%GOBP%GO:0006302	204	2.4238e-7	0.000006331	-1.861
PID_TCR_CALCIUM_PATHWAY%MSIGDB_C2%PID_TCR_CALCIUM_PATHWAY	25	0.0082	0.0302	1.7372
MIRNA ROLE IN IMMUNE RESPONSE IN SEPSIS%WIKIPATHWAYS_20240410%WP4329%HOMO SAPIENS	33	7.3533e-10	3.9773e-8	2.5869
RESPONSE TO NITROGEN COMPOUND%GOBP%GO:1901698	618	4.2247e-7	0	1.6617
RIBOSOMAL LARGE SUBUNIT BIOGENESIS%GOBP%GO:0042273	60	0.0065	0.0253	-1.553
MITOCHONDRIAL TRANSLATION%REACTOME DATABASE ID RELEASE 81%5368287	94	0.0000031695	0.0001	-2.018
SPINDLE ORGANIZATION%GOBP%GO:0007051	140	0	0.0002	-1.8122
CELL DEATH%GOBP%GO:0008219	508	8.1499e-7	0	1.6469
RAS PATHWAY%PANTHER PATHWAY%P04393	70	0.0007	0.0045	1.7708
NUCLEAR CHROMOSOME SEGREGATION%GOBP%GO:0098813	196	1.1e-7	0.0000031714	-1.9395
PORPHYRIN-CONTAINING COMPOUND BIOSYNTHETIC PROCESS%GOBP%GO:0006779	22	0.0026	0.0125	-1.804
NEGATIVE REGULATION OF INTRACELLULAR SIGNAL TRANSDUCTION%GOBP%GO:1902532	479	3.6988e-10	2.1737e-8	1.851
T CELL DIFFERENTIATION%GOBP%GO:0030217	90	0.0076	0.0285	1.5462
CHOLESTEROL METABOLIC PROCESS%GOBP%GO:0008203	69	0.0085	0.0312	-1.5181
CENTRAL NERVOUS SYSTEM NEURON DIFFERENTIATION%GOBP%GO:0021953	68	0.004	0.0176	1.7338
CELL SURFACE RECEPTOR SIGNALING PATHWAY VIA STAT%GOBP%GO:0097696	41	0	0.0005	2.1531
CLASS I PI3K SIGNALING EVENTS MEDIATED BY AKT%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CLASS I PI3K SIGNALING EVENTS MEDIATED BY AKT	35	0.0095	0.034	1.7143
CELLULAR RESPONSE TO CADMIUM ION%GOBP%GO:0071276	31	0.0061	0.024	1.6965
RAS SIGNALING%WIKIPATHWAYS_20240410%WP4223%HOMO SAPIENS	148	0.0001	0.001	1.7743
REGULATION OF INFLAMMATORY RESPONSE%GOBP%GO:0050727	304	1.109e-8	4.3148e-7	1.9693
CALCIUM ION TRANSMEMBRANE TRANSPORT%GOBP%GO:0070588	144	0.0141	0.0455	1.4692
NEGATIVE REGULATION OF PROTEOLYSIS%GOBP%GO:0045861	167	0.0000034733	0.0001	1.8713
TRANSCRIPTION BY RNA POLYMERASE II%GOBP%GO:0006366	285	0.0003	0.0024	1.5535
NEUROTROPHIN SIGNALING PATHWAY%GOBP%GO:0038179	17	0.0082	0.0302	1.739
GLYCOGEN STORAGE DISEASE TYPE 1A (GSD1A) OR VON GIERKE DISEASE%SMPDB%SMP0000374	22	0.0024	0.012	-1.7847
IKK COMPLEX RECRUITMENT MEDIATED BY RIP1%REACTOME DATABASE ID RELEASE 81%937041	22	0.0005	0.0036	1.9677
CELLULAR SENESCENCE%GOBP%GO:0090398	47	0.0002	0.0013	2.0198
POSITIVE REGULATION OF PROTEIN KINASE ACTIVITY%GOBP%GO:0045860	236	2.2907e-8	8.1876e-7	1.9754
EPIBOLY INVOLVED IN WOUND HEALING%GOBP%GO:0090505	29	0.0091	0.0329	1.7663
POSITIVE REGULATION OF LEUKOCYTE MIGRATION%GOBP%GO:0002687	115	0.0007	0.0045	1.707
RESOLUTION OF D-LOOP STRUCTURES THROUGH SYNTHESIS-DEPENDENT STRAND ANNEALING (SDSA)%REACTOME DATABASE ID RELEASE 81%5693554	27	0.0075	0.0282	-1.7444
NEGATIVE REGULATION OF METAPHASE/ANAPHASE TRANSITION OF CELL CYCLE%GOBP%GO:1902100	31	0	0.0002	-2.2044
ENDOSOMAL TRANSPORT%GOBP%GO:0016197	257	0.0004	0.003	1.5653
POSITIVE REGULATION OF CATABOLIC PROCESS%GOBP%GO:0009896	466	1.1154e-8	4.3148e-7	1.7716
INNATE IMMUNE RESPONSE ACTIVATING CELL SURFACE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0002220	62	0.0000023054	0	2.2119
PROTEINOGENIC AMINO ACID BIOSYNTHETIC PROCESS%GOBP%GO:0170038	48	0.0001	0.0007	-2.0472
DNA UNWINDING INVOLVED IN DNA REPLICATION%GOBP%GO:0006268	21	0.0000037827	0.0001	-2.2989
SUMOYLATION OF TRANSCRIPTION COFACTORS%REACTOME%R-HSA-3899300.7	41	0.0029	0.0136	1.8043
TUMOR NECROSIS FACTOR-MEDIATED SIGNALING PATHWAY%GOBP%GO:0033209	37	0.0005	0.0035	1.9221
SIGNALING BY CSF3 (G-CSF)%REACTOME%R-HSA-9674555.4	30	0.0003	0.0023	1.9872
FATTY ACID CATABOLIC PROCESS%GOBP%GO:0009062	80	0.0000025626	0	-2.0951
FACTORS AND PATHWAYS AFFECTING INSULIN LIKE GROWTH FACTOR IGF1 AKT SIGNALING%WIKIPATHWAYS_20240410%WP3850%HOMO SAPIENS	30	0.0012	0.0069	1.8693
BIOLOGICAL PROCESS INVOLVED IN INTERACTION WITH HOST%GOBP%GO:0051701	77	0.0002	0.0017	1.8661
NEGATIVE REGULATION OF MITOTIC NUCLEAR DIVISION%GOBP%GO:0045839	36	0.0000049601	0.0001	-2.2116
NOTCH-MEDIATED HES HEY NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%NOTCH-MEDIATED HES HEY NETWORK	47	0.0157	0.0495	1.6294
INNATE IMMUNE RESPONSE%GOBP%GO:0045087	418	5.0984e-13	1.1985e-10	2.131
PID_FRA_PATHWAY%MSIGDB_C2%PID_FRA_PATHWAY	33	0.0005	0.0034	1.9207
EPITHELIUM DEVELOPMENT%GOBP%GO:0060429	583	0.0002	0.0018	1.5122
REGULATION OF CIRCADIAN RHYTHM%GOBP%GO:0042752	98	0.0003	0.0021	1.8008
LYSOSOMAL ACID LIPASE DEFICIENCY (WOLMAN DISEASE)%PATHWHIZ%PW000099	21	0.0026	0.0124	-1.8161
NEGATIVE REGULATION OF PHOSPHORUS METABOLIC PROCESS%GOBP%GO:0010563	285	0.0004	0.0026	1.5616
RESPONSE TO CADMIUM ION%GOBP%GO:0046686	33	0.0118	0.0398	1.6232
NEGATIVE REGULATION OF OSTEOCLAST DIFFERENTIATION%GOBP%GO:0045671	23	0.0073	0.0277	1.755
REGULATION OF CHEMOTAXIS%GOBP%GO:0050920	160	0	0.0004	1.8131
NEGATIVE REGULATION OF EXTRINSIC APOPTOTIC SIGNALING PATHWAY IN ABSENCE OF LIGAND%GOBP%GO:2001240	23	0.0099	0.0352	1.7259
REGULATION OF FILOPODIUM ASSEMBLY%GOBP%GO:0051489	41	0.0072	0.0276	1.6834
REGULATION OF LEUKOCYTE PROLIFERATION%GOBP%GO:0070663	188	6.7942e-8	0.0000021296	2.0028
REGULATION OF NECROPTOTIC PROCESS%GOBP%GO:0060544	21	0.0085	0.0312	1.7228
CITRIC ACID CYCLE (TCA CYCLE)%REACTOME%R-HSA-71403.5	32	0.0046	0.0194	-1.6899
ORGANIC ACID TRANSMEMBRANE TRANSPORT%GOBP%GO:1903825	100	0.0031	0.0141	-1.6015
REGULATION OF TUMOR NECROSIS FACTOR-MEDIATED SIGNALING PATHWAY%GOBP%GO:0010803	49	0.0071	0.0273	1.6636
ALPHA6BETA4INTEGRIN%IOB%ALPHA6BETA4INTEGRIN	53	0.0055	0.0223	1.6869
RIBOSOMAL SCANNING AND START CODON RECOGNITION%REACTOME DATABASE ID RELEASE 81%72702	59	0.0019	0.0098	-1.7041
CARDIAC HYPERTROPHIC RESPONSE%WIKIPATHWAYS_20240410%WP2795%HOMO SAPIENS	49	0.003	0.014	1.7582
POSITIVE REGULATION OF RESPONSE TO CYTOKINE STIMULUS%GOBP%GO:0060760	54	0.0142	0.0459	1.583
DEFENSE RESPONSE TO OTHER ORGANISM%GOBP%GO:0098542	674	9.687e-19	7.4009e-16	2.1777
OSTEOPONTIN-MEDIATED EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%OSTEOPONTIN-MEDIATED EVENTS	31	0.0007	0.0043	1.9453
RESPONSE TO STEROID HORMONE%GOBP%GO:0048545	110	0.0025	0.0122	1.6385
POSITIVE REGULATION OF ORGAN GROWTH%GOBP%GO:0046622	20	0.0017	0.0091	1.8849
REGULATION OF CELL CYCLE PHASE TRANSITION%GOBP%GO:1901987	372	0.0000052912	0.0001	-1.6099
NEUTROPHIL CHEMOTAXIS%GOBP%GO:0030593	46	0.0007	0.0043	1.9422
IL 3 SIGNALING PATHWAY%WIKIPATHWAYS_20240410%WP286%HOMO SAPIENS	43	0.0045	0.0189	1.7249
MITOTIC ANAPHASE%REACTOME DATABASE ID RELEASE 81%68882	227	0.0008	0.0049	-1.4729
HORMONE-MEDIATED SIGNALING PATHWAY%GOBP%GO:0009755	95	0.0023	0.0114	1.6731
SIGNALING EVENTS MEDIATED BY TCPTP%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY TCPTP	40	0	0.0002	2.1864
AUTOPHAGOSOME ASSEMBLY%GOBP%GO:0000045	73	0.0031	0.0141	1.6449
MITOTIC G1 PHASE AND G1 S TRANSITION%REACTOME DATABASE ID RELEASE 81%453279	148	0.0000073382	0.0001	-1.8331
HIF-1-ALPHA TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%HIF-1-ALPHA TRANSCRIPTION FACTOR NETWORK	66	0.0158	0.0498	1.4912
RRNA PROCESSING%GOBP%GO:0006364	164	0.0106	0.0369	-1.3786
REGULATION OF MRNA PROCESSING%GOBP%GO:0050684	117	0.0000014018	0	2.03
POSITIVE REGULATION OF CELL CYCLE%GOBP%GO:0045787	265	0.0027	0.0128	-1.3967
RESPONSE TO TYPE II INTERFERON%GOBP%GO:0034341	68	8.8721e-8	0.0000026582	2.2632
IFN-ALPHA%IOB%IFN-ALPHA	29	0.0049	0.0201	1.7885
PROTEIN SYNTHESIS: VALINE%PATHWHIZ%PW120528	80	4.8238e-12	4.9971e-10	-2.6504
CANONICAL NF-KAPPAB PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CANONICAL NF-KAPPAB PATHWAY	23	0.0001	0.0007	2.1413
LEIGH SYNDROME%SMPDB%SMP0000196	21	0.0107	0.0371	-1.6562
RRNA PROCESSING%REACTOME DATABASE ID RELEASE 81%72312	203	6.8786e-8	0.000002145	-1.919
ENDOLYSOSOMAL TOLL-LIKE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0140894	20	0	0.0002	2.1999
PHOTODYNAMIC THERAPY INDUCED AP 1 SURVIVAL SIGNALING%WIKIPATHWAYS_20240410%WP3611%HOMO SAPIENS	43	0	0.0004	2.1455
ATORVASTATIN ACTION PATHWAY%SMPDB%SMP0000131	21	0.0026	0.0124	-1.8161
TRANSFORMING GROWTH FACTOR BETA RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007179	75	0.0004	0.0031	1.8371
RESPONSE TO WOUNDING%GOBP%GO:0009611	287	0.0033	0.015	1.4886
CHROMATIN ORGANIZATION%REACTOME%R-HSA-4839726.4	237	0.0002	0.0019	1.5952
BIOCARTA_ATRBRCA_PATHWAY%MSIGDB_C2%BIOCARTA_ATRBRCA_PATHWAY	21	0.0015	0.0083	-1.8555
POSITIVE REGULATION OF SECRETION BY CELL%GOBP%GO:1903532	191	0.0013	0.0071	1.586
RESPONSE TO EXOGENOUS DSRNA%GOBP%GO:0043330	35	0.0115	0.0391	1.7177
POSITIVE REGULATION OF ALPHA-BETA T CELL PROLIFERATION%GOBP%GO:0046641	16	0.0038	0.0168	1.822
REGULATION OF VASCULATURE DEVELOPMENT%GOBP%GO:1901342	244	0.0003	0.0022	1.6319
REGULATION OF GROWTH%GOBP%GO:0040008	379	0	0.0002	1.6513
TRANS SULFURATION ONE CARBON METABOLISM AND RELATED PATHWAYS%WIKIPATHWAYS_20240410%WP2525%HOMO SAPIENS	55	0.0013	0.0072	-1.8002
PID_ERBB1_DOWNSTREAM_PATHWAY%MSIGDB_C2%PID_ERBB1_DOWNSTREAM_PATHWAY	86	0.0001	0.0012	1.843
ADHERENS JUNCTIONS INTERACTIONS%REACTOME%R-HSA-418990.5	53	0.0018	0.0094	1.8131
HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE	173	5.3734e-25	8.2106e-22	2.8322
PID_TRKR_PATHWAY%MSIGDB_C2%PID_TRKR_PATHWAY	50	0.0095	0.034	1.6363
TETRAHYDROFOLATE METABOLIC PROCESS%GOBP%GO:0046653	15	0.0071	0.0272	-1.7539
MESODERMAL COMMITMENT PATHWAY%WIKIPATHWAYS_20240410%WP2857%HOMO SAPIENS	126	0.002	0.0102	1.6341
PID_HDAC_CLASSI_PATHWAY%MSIGDB_C2%PID_HDAC_CLASSI_PATHWAY	58	0.0088	0.0321	1.6058
CELL SURFACE RECEPTOR PROTEIN TYROSINE KINASE SIGNALING PATHWAY%GOBP%GO:0007169	335	0.0000044673	0.0001	1.7574
CELL CYCLE CHECKPOINT SIGNALING%GOBP%GO:0000075	148	0	0.0005	-1.7362
NEGATIVE REGULATION OF VIRAL GENOME REPLICATION%GOBP%GO:0045071	54	0.0004	0.0026	1.8918
POSITIVE REGULATION OF CHROMOSOME SEGREGATION%GOBP%GO:0051984	27	0.0013	0.007	-1.9037
ESTABLISHMENT OF CHROMOSOME LOCALIZATION%GOBP%GO:0051303	86	0.0139	0.0451	-1.4763
CHOLESTEROL SYNTHESIS DISORDERS%WIKIPATHWAYS_20240410%WP5193%HOMO SAPIENS	17	0.0002	0.0017	-2.0773
EXTRINSIC APOPTOTIC SIGNALING PATHWAY VIA DEATH DOMAIN RECEPTORS%GOBP%GO:0008625	31	0.0005	0.0035	1.9145
NEGATIVE REGULATION OF CELL-CELL ADHESION%GOBP%GO:0022408	150	0.0007	0.0043	1.6516
DIRECT P53 EFFECTORS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%DIRECT P53 EFFECTORS	138	0.0002	0.0017	1.7266
NADH DEHYDROGENASE COMPLEX ASSEMBLY%GOBP%GO:0010257	59	0.0028	0.0131	-1.7749
PRIMARY ALCOHOL METABOLIC PROCESS%GOBP%GO:0034308	59	0.0062	0.0242	-1.6658
CELLULAR RESPONSE TO MECHANICAL STIMULUS%GOBP%GO:0071260	50	0.0015	0.0082	1.801
G0 AND EARLY G1%REACTOME%R-HSA-1538133.5	27	0	0.0005	-2.1324
IL3-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IL3-MEDIATED SIGNALING EVENTS	27	0.0124	0.0413	1.6066
A6B1 AND A6B4 INTEGRIN SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%A6B1 AND A6B4 INTEGRIN SIGNALING	45	0.009	0.0326	1.6474
REGULATION OF HEMATOPOIETIC PROGENITOR CELL DIFFERENTIATION%GOBP%GO:1901532	30	0.0156	0.0493	1.6511
REGULATION OF SMOOTH MUSCLE CELL MIGRATION%GOBP%GO:0014910	34	0.0019	0.0099	1.8587
HDR THROUGH SINGLE STRAND ANNEALING (SSA)%REACTOME%R-HSA-5685938.3	37	0.0012	0.0067	-1.8347
RIP-MEDIATED NFKB ACTIVATION VIA ZBP1%REACTOME DATABASE ID RELEASE 81%1810476	17	0.0003	0.0025	1.998
DNA RECOMBINATION%GOBP%GO:0006310	194	1.1559e-7	0.0000032859	-1.9429
CENTRAL NERVOUS SYSTEM NEURON DEVELOPMENT%GOBP%GO:0021954	39	0.0076	0.0286	1.6758
INTERACTIONS OF NATURAL KILLER CELLS IN PANCREATIC CANCER%WIKIPATHWAYS_20240410%WP5092%HOMO SAPIENS	25	0.0051	0.0208	1.7915
PROTEIN MODIFICATION BY SMALL PROTEIN CONJUGATION%GOBP%GO:0032446	544	0.0000073313	0.0001	1.5796
POSITIVE REGULATION OF CD4-POSITIVE, ALPHA-BETA T CELL ACTIVATION%GOBP%GO:2000516	36	0.0003	0.0022	1.9871
RETINOBLASTOMA GENE IN CANCER%WIKIPATHWAYS_20240410%WP2446%HOMO SAPIENS	72	1.0652e-7	0.0000030855	-2.292
MITOTIC CELL CYCLE CHECKPOINT SIGNALING%GOBP%GO:0007093	116	0	0.0005	-1.8121
NEGATIVE REGULATION OF NEUROGENESIS%GOBP%GO:0050768	61	0.0031	0.0142	1.7562
REGULATION OF ADAPTIVE IMMUNE RESPONSE%GOBP%GO:0002819	162	2.4986e-10	1.5744e-8	2.2139
HYPERINSULINISM-HYPERAMMONEMIA SYNDROME%PATHWHIZ%PW000072	22	0.011	0.0376	-1.715
PID_PI3K_PLC_TRK_PATHWAY%MSIGDB_C2%PID_PI3K_PLC_TRK_PATHWAY	29	0.0138	0.0447	1.6467
REGULATION OF MIRNA METABOLIC PROCESS%GOBP%GO:2000628	75	0	0.0004	2.009
ALPHA-AMINO ACID METABOLIC PROCESS%GOBP%GO:1901605	164	0.0004	0.0026	-1.6608
PDGF SIGNALING PATHWAY%PANTHER PATHWAY%P00047	125	0.0005	0.0033	1.6874
MODULATION BY HOST OF VIRAL PROCESS%GOBP%GO:0044788	45	0.0081	0.03	1.6401
22Q11 2 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20240410%WP4657%HOMO SAPIENS	97	0.008	0.0299	-1.5712
RESPONSE TO REACTIVE OXYGEN SPECIES%GOBP%GO:0000302	111	0.004	0.0173	1.5953
DEOXYRIBONUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0009262	30	0.0003	0.0023	-1.9319
IMPAIRED BRCA2 BINDING TO PALB2%REACTOME DATABASE ID RELEASE 81%9709603	24	0.0069	0.0267	-1.7189
INTEGRIN SIGNALLING PATHWAY%PANTHER PATHWAY%P00034	164	0.0007	0.0045	1.634
PROTEIN LOCALIZATION TO CELL PERIPHERY%GOBP%GO:1990778	186	0.0015	0.008	1.5723
NEGATIVE REGULATION OF INFLAMMATORY RESPONSE%GOBP%GO:0050728	122	0.0151	0.0482	1.4825
PURINE NUCLEOTIDE BIOSYNTHETIC PROCESS%GOBP%GO:0006164	192	0.0001	0.0008	-1.6852
REGULATION OF CARDIAC MUSCLE TISSUE GROWTH%GOBP%GO:0055021	25	0.0124	0.0414	1.6766
IMPAIRED BRCA2 BINDING TO RAD51%REACTOME DATABASE ID RELEASE 81%9709570	35	0.0019	0.0097	-1.8068
REGULATION OF HORMONE SECRETION%GOBP%GO:0046883	165	0.0076	0.0285	1.5096
NEGATIVE REGULATION OF THE PI3K AKT NETWORK%REACTOME DATABASE ID RELEASE 81%199418	99	0.0012	0.007	1.6883
PEPTIDYL-SERINE MODIFICATION%GOBP%GO:0018209	95	0.0092	0.0332	1.4965
DNA GEOMETRIC CHANGE%GOBP%GO:0032392	50	0.0032	0.0145	-1.7132
POSITIVE REGULATION OF CELL DIFFERENTIATION%GOBP%GO:0045597	621	2.5184e-8	8.8462e-7	1.7202
POSITIVE REGULATION OF DNA-TEMPLATED TRANSCRIPTION, ELONGATION%GOBP%GO:0032786	55	0.0012	0.0068	1.7872
RHO GTPASE EFFECTORS%REACTOME DATABASE ID RELEASE 81%195258	266	0.0058	0.0232	-1.3416
PURINE-CONTAINING COMPOUND BIOSYNTHETIC PROCESS%GOBP%GO:0072522	199	0	0.0002	-1.75
OXIDATIVE DAMAGE RESPONSE%WIKIPATHWAYS_20240410%WP3941%HOMO SAPIENS	37	0.0002	0.0017	2.0429
GLYCINE AND SERINE METABOLISM%SMPDB%SMP0000004	24	0.0013	0.0072	-1.8689
POSITIVE REGULATION OF PEPTIDYL-SERINE PHOSPHORYLATION%GOBP%GO:0033138	73	0.0001	0.0011	1.9315
PROTEIN SYNTHESIS: ALANINE%PATHWHIZ%PW101384	80	2.9244e-12	4.1743e-10	-2.6663
REGULATION OF HETEROTYPIC CELL-CELL ADHESION%GOBP%GO:0034114	24	0.0146	0.0469	1.6938
NEGATIVE REGULATION OF FGFR3 SIGNALING%REACTOME%R-HSA-5654732.3	23	0.0039	0.0172	1.8107
RESPONSE TO CAMP%GOBP%GO:0051591	39	0.0062	0.0244	1.7396
CHONDRODYSPLASIA PUNCTATA II, X-LINKED DOMINANT (CDPX2)%SMPDB%SMP0000388	21	0.0026	0.0124	-1.8161
DNA REPLICATION INITIATION%GOBP%GO:0006270	24	0.0009	0.0052	-1.8959
CELLULAR RESPONSE TO TRANSFORMING GROWTH FACTOR BETA STIMULUS%GOBP%GO:0071560	100	0.004	0.0176	1.6224
NEGATIVE REGULATION OF ADAPTIVE IMMUNE RESPONSE BASED ON SOMATIC RECOMBINATION OF IMMUNE RECEPTORS BUILT FROM IMMUNOGLOBULIN SUPERFAMILY DOMAINS%GOBP%GO:0002823	39	0.0002	0.0018	2.0186
METAL ION TRANSPORT%GOBP%GO:0030001	487	0.0091	0.0328	1.3557
ENDOSOME ORGANIZATION%GOBP%GO:0007032	85	0.0004	0.003	1.7773
PROTEIN SYNTHESIS: PHENYLALANINE%PATHWHIZ%PW112934	81	7.5768e-13	1.5436e-10	-2.6849
NADP METABOLIC PROCESS%GOBP%GO:0006739	32	0.0009	0.0056	-1.9057
REGULATION OF LYMPHOCYTE APOPTOTIC PROCESS%GOBP%GO:0070228	34	0.0081	0.0301	1.6459
DNA REPLICATION%WIKIPATHWAYS_20240410%WP466%HOMO SAPIENS	33	0	0.0005	-2.0882
PYRIMIDINE NUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0006220	33	0.0002	0.0018	-1.9463
POSITIVE REGULATION OF PEPTIDYL-TYROSINE PHOSPHORYLATION%GOBP%GO:0050731	119	2.0208e-8	7.3518e-7	2.2098
PHOSPHORYLATION%GOBP%GO:0016310	444	0.0001	0.0011	1.5294
POSITIVE REGULATION OF T CELL CYTOKINE PRODUCTION%GOBP%GO:0002726	22	0.0003	0.002	2.0444
PRION DISEASE PATHWAY%WIKIPATHWAYS_20240410%WP3995%HOMO SAPIENS	30	0.0038	0.0168	1.8087
SIRT1 NEGATIVELY REGULATES RRNA EXPRESSION%REACTOME DATABASE ID RELEASE 81%427359	35	0.0061	0.0242	1.6936
REGULATION OF CELLULAR RESPONSE TO GROWTH FACTOR STIMULUS%GOBP%GO:0090287	246	5.669e-8	0.000001843	1.9361
POSITIVE REGULATION OF T-HELPER CELL DIFFERENTIATION%GOBP%GO:0045624	21	0	0.0005	2.1317
FORMATION OF THE BETA-CATENIN:TCF TRANSACTIVATING COMPLEX%REACTOME DATABASE ID RELEASE 81%201722	58	0.0101	0.0356	1.636
ALCOHOL METABOLIC PROCESS%GOBP%GO:0006066	229	0.0025	0.012	-1.4372
REGULATION OF INTERFERON-ALPHA PRODUCTION%GOBP%GO:0032647	27	0.0038	0.0167	1.7724
CELLULAR RESPONSE TO EXTERNAL STIMULUS%GOBP%GO:0071496	50	0.0015	0.0082	1.801
OXIDATIVE PHOSPHORYLATION%WIKIPATHWAYS_20240410%WP623%HOMO SAPIENS	54	0.0008	0.005	-1.8156
MITOCHONDRIAL IMMUNE RESPONSE TO SARS COV 2%WIKIPATHWAYS_20240410%WP5038%HOMO SAPIENS	29	0.0001	0.0013	2.0356
NEGATIVE REGULATION OF DEFENSE RESPONSE%GOBP%GO:0031348	201	0.0001	0.0007	1.7117
POSITIVE REGULATION OF SUPRAMOLECULAR FIBER ORGANIZATION%GOBP%GO:1902905	149	0.0091	0.0328	1.4625
P75(NTR)-MEDIATED SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%P75(NTR)-MEDIATED SIGNALING	68	0.0001	0.001	1.9587
PID_IFNG_PATHWAY%MSIGDB_C2%PID_IFNG_PATHWAY	28	0.0007	0.0042	1.9346
LAGGING STRAND SYNTHESIS%REACTOME%R-HSA-69186.4	20	0	0.0004	-2.1249
ZBP1(DAI) MEDIATED INDUCTION OF TYPE I IFNS%REACTOME DATABASE ID RELEASE 81%1606322	21	0.0002	0.0016	2.0586
